stop_id,stop_name,stop_desc,stop_lat,stop_lon,location_type,parent_station
1,Base BinniBus Viguera,,17.12653,-96.76779,0,
2,Carretera Panamericana 190 (Carretera Internacional Cristóbal Colón),,17.12184,-96.76401,0,
3,Carretera Panamericana 190 - COBAO 01,,17.11844,-96.76114,0,
4,Carretera Panamericana 190 - Plutarco Elías Calles,,17.11558,-96.75879,0,
5,Carretera Panamericana 190 - Vicente Guerrero,,17.11226,-96.75647,0,
6,Carretera Panamericana 190 - Cristóbal Colón,,17.10833,-96.75478,0,
7,Carretera Panamericana 190 - Gasolinera Brenamiel,,17.10369,-96.75283,0,
8,Carretera Panamericana 190 - Reforma Colonia del Maestro,,17.10157,-96.7519,0,
9,Carretera Panamericana 190 - Bodega Aurerra,,17.09765,-96.75026,0,
10,Carretera Panamericana 190 - Mercado Zonal Santa Rosa,,17.0939,-96.74862,0,
11,Ex Hacienda Santa Rosa ,,17.09121,-96.74747,0,
12,Carretera Panamericana 190 - Gasolinera G5000,,17.08601,-96.74516,0,
13,Carretera Panamericana 190 - Oficina del PRI,,17.08311,-96.74395,0,
14,ITO,,17.07929,-96.7431,0,
15,Calzada Francisco I. Madero - Glorieta Niños Héroes,,17.07561,-96.74105,0,
16,Calzada Francisco I. Madero - Privada Vicente Suárez,,17.07223,-96.73848,0,
17,Calzada Francisco I. Madero - Museo del Ferrocarril,,17.06841,-96.73666,0,
18,Yubez Juana Cata,,17.062421,-96.734923,0,
19,Yubez María Sabina,,17.057203,-96.730914,0,
20,Periférico - Transporte Turistico de Pasaje San Jacinto Tlacotepec,,17.053247,-96.729561,0,
21,Periférico,,17.05146381,-96.72920886,0,
22,Guillermo Prieto - Farmacias del Ahorro,,17.048585,-96.731398,0,
23,Carretera Oaxaca - Zimatlán de Álvarez - Bodega Aurrera,,17.044759,-96.730562,0,
24,Boulevard Guadalupe Hinojosa,,17.040319,-96.729054,0,
25,Oaxaca - Xoxocotlán - DHL,,17.036372,-96.7285,0,
26,Oaxaca - Xoxocotlán - Camino a Rancho Escondio,,17.034755,-96.728687,0,
27,Oaxaca - Xoxocotlán - Prolongación de Samaria,,17.031789,-96.729022,0,
28,Oaxaca - Xoxocotlán - Hornos,,17.030126,-96.729228,0,
29,Oaxaca - Xoxocotlán - Moctezuma,,17.026967,-96.729617,0,
30,Mercado Xoxocotlán,,17.025714,-96.72977,0,
31,Oaxaca - Xoxocotlán - Porfirio Díaz,,17.023751,-96.730014,0,
32,Base BinniBus Xoxocotlán,,17.016385,-96.732935,0,
33,Oaxaca - Xoxocotlán - Guadalupe Hinojosa,,17.0237,-96.729847,0,
34,Oaxaca - Xoxocotlán - Prolongación Moctezuma,,17.026536,-96.729563,0,
35,Oaxaca - Xoxocotlán - Privada Andrés Henestrosa,,17.029086,-96.729251,0,
36,Oaxaca - Xoxocotlán - Prolongación de Samaria,,17.03162,-96.728939,0,
37,Oaxaca - Xoxocotlán - Camino a Rancho Escondio,,17.034411,-96.728563,0,
38,Oaxaca - Xoxocotlán - Carretera Antigua a Xoxocotlán,,17.036259,-96.728342,0,
39,Oaxaca - Xoxocotlán - Avenida Santa Elena,,17.041497,-96.729159,0,
40,Carretera Panamericana 190 - Bodega Aurerra,,17.045297,-96.730676,0,
41,Hospital Clinica Santa Anita,,17.048388,-96.731231,0,
42,Avenida Ferrocarril - Boulevard Eduardo Mata,,17.05006,-96.729081,0,
43,Yubez Lázaro Cárdenas,,17.055861,-96.730285,0,
44,Yubez Flores Magon,,17.060197,-96.733209,0,
45,Parque Francisco I. Madero,,17.066247,-96.735428,0,
46,División Oriente - Ignacio Rayón,,17.06814,-96.73547,0,
47,Niños Héroes - Antonio Pérez Gazca,,17.0709,-96.73661,0,
48,Niños Héroes - Fernando Montes de OCa,,17.07368,-96.73811,0,
49,Panteón del Ex Marquesado,,17.07512,-96.73907,0,
50,División Oriente - Chedraui,,17.0794,-96.74129,0,
51,Carretera Panamericana 190 - Cuauhtémoc,,17.08306,-96.74369,0,
52,Carretera Panamericana 190 - Gasolinera G500,,17.0864708,-96.7452508,0,
53,Carretera Panamericana 190 - Consultorio Médico Acupuntura,,17.090013,-96.746781,0,
54,Carretera Panamericana 190 - Mercado Zonal Santa Rosa,,17.09329,-96.74805,0,
55,Carretera Panamericana 190 - Bodega Aurerra,,17.09778,-96.75001,0,
56,Carretera Panamericana 190 - Abraham Castellanos,,17.100841,-96.751408,0,
57,Carretera Panamericana 190 - Jaime Torres Bodet,,17.10498,-96.75309,0,
58,Carretera Panamericana 190 - Avenida San Rafael,,17.108442,-96.75471,0,
59,Carretera Panamericana 190 - Vicente Guerrero,,17.11238,-96.75631,0,
60,Carretera Panamericana 190 - Funeraria,,17.115553,-96.758627,0,
61,Carretera Panamericana 190 - COBAO 01,,17.118457,-96.760958,0,
62,Carretera Panamericana 190 - Monumento Benito Juárez,,17.12215,-96.76379,0,
63,Parque del Amor,,17.050545,-96.729255,0,
64,Periférico - Piticó,,17.05102,-96.72512,0,
65,Periférico - Prolongación de Xicoténcatl,,17.051543,-96.722745,0,
66,Periférico - Hotel Hacienda,,17.05227,-96.72005,0,
67,Chedraui - Periférico,,17.05303,-96.71696,0,
68,Boulevard Eduardo Vasconcelos - Luis Gonzaga Urbina,,17.055606,-96.712951,0,
69,Boulevard Eduardo Vasconcelos - Afipsa Navani,,17.058273,-96.712658,0,
70,Boulevard Eduardo Vasconcelos - Piticó,,17.059676,-96.713103,0,
71,Boulevard Eduardo Vasconcelos - Consultorio Psicologico,,17.062769,-96.713999,0,
72,Escuela Secundaria Técnica No. 6,,17.066311,-96.714134,0,
73,Escuela Primaria Federal 21 de Agosto,,17.067976,-96.713833,0,
74,Plaza Bonn,,17.070164,-96.71167,0,
75,Carretera Oaxaca - Tehuantepec - Perú,,17.069756,-96.707911,0,
76,Carretera Oaxaca - Tehuantepec - Elektra,,17.069578,-96.70507,0,
77,Carretera Oaxaca - Tehuantepec - Avenida 16 de Septiembre,,17.06942,-96.70235,0,
78,Zona Militar,,17.06914,-96.70017,0,
79,MacroPlaza,,17.068664,-96.694662,0,
80,Carretera Oaxaca - Tehuantepec - Siracuaza,,17.06837,-96.69093,0,
81,Carretera Oaxaca - Tehuantepec - Nñios Héroes,,17.065836,-96.681175,0,
82,Carretera Federal Oaxaca - Tuxtepec - Surcos Largos,,17.067059,-96.677362,0,
83,Carretera Federal Oaxaca - Tuxtepec - Privada de Antequera,,17.069526,-96.674475,0,
84,Carretera Federal Oaxaca - Tuxtepec - Privada de Guelatao,,17.073052,-96.670198,0,
