trip_id,arrival_time,departure_time,stop_id,stop_sequence
trip_1,00:00:00,00:00:00,1,1
trip_1,00:00:40,00:00:40,2,2
trip_1,00:01:20,00:01:20,3,3
trip_1,00:02:00,00:02:00,4,4
trip_1,00:02:40,00:02:40,5,5
trip_1,00:03:20,00:03:20,6,6
trip_1,00:04:00,00:04:00,7,7
trip_1,00:04:40,00:04:40,8,8
trip_1,00:05:20,00:05:20,9,9
trip_1,00:06:00,00:06:00,86,10
trip_1,00:06:40,00:06:40,87,11
trip_1,00:07:20,00:07:20,88,12
trip_1,00:08:00,00:08:00,89,13
trip_1,00:08:40,00:08:40,10,14
trip_1,00:09:20,00:09:20,90,15
trip_1,00:10:00,00:10:00,11,16
trip_1,00:10:40,00:10:40,12,17
trip_1,00:11:20,00:11:20,13,18
trip_1,00:12:00,00:12:00,14,19
trip_1,00:12:40,00:12:40,15,20
trip_1,00:13:20,00:13:20,16,21
trip_1,00:14:00,00:14:00,17,22
trip_1,00:14:40,00:14:40,18,23
trip_1,00:15:20,00:15:20,19,24
trip_1,00:16:00,00:16:00,20,25
trip_2,00:00:00,00:00:00,21,1
trip_2,00:00:40,00:00:40,22,2
trip_2,00:01:20,00:01:20,23,3
trip_2,00:02:00,00:02:00,24,4
trip_2,00:02:40,00:02:40,25,5
trip_2,00:03:20,00:03:20,26,6
trip_2,00:04:00,00:04:00,27,7
trip_2,00:04:40,00:04:40,28,8
trip_2,00:05:20,00:05:20,29,9
trip_2,00:06:00,00:06:00,30,10
trip_2,00:06:40,00:06:40,31,11
trip_2,00:07:20,00:07:20,32,12
trip_2,00:08:00,00:08:00,33,13
trip_2,00:08:40,00:08:40,34,14
trip_2,00:09:20,00:09:20,35,15
trip_2,00:10:00,00:10:00,84,16
trip_2,00:10:40,00:10:40,85,17
trip_2,00:11:20,00:11:20,36,18
trip_2,00:12:00,00:12:00,37,19
trip_2,00:12:40,00:12:40,38,20
trip_2,00:13:20,00:13:20,39,21
trip_2,00:14:00,00:14:00,40,22
trip_2,00:14:40,00:14:40,41,23
trip_2,00:15:20,00:15:20,42,24
trip_2,00:16:00,00:16:00,43,25
trip_2,00:16:18,00:16:18,44,26
trip_3,00:00:00,00:00:00,45,1
trip_3,00:00:40,00:00:40,46,2
trip_3,00:01:20,00:01:20,47,3
trip_3,00:02:00,00:02:00,48,4
trip_3,00:02:40,00:02:40,49,5
trip_3,00:03:20,00:03:20,50,6
trip_3,00:04:00,00:04:00,51,7
trip_3,00:04:40,00:04:40,52,8
trip_3,00:05:20,00:05:20,53,9
trip_3,00:06:00,00:06:00,54,10
trip_3,00:06:40,00:06:40,55,11
trip_3,00:07:20,00:07:20,56,12
trip_3,00:08:00,00:08:00,57,13
trip_3,00:08:40,00:08:40,58,14
trip_3,00:09:20,00:09:20,59,15
trip_3,00:10:00,00:10:00,60,16
trip_3,00:10:40,00:10:40,61,17
trip_3,00:11:20,00:11:20,62,18
trip_3,00:12:00,00:12:00,63,19
trip_3,00:12:40,00:12:40,64,20
trip_3,00:13:20,00:13:20,65,21
trip_3,00:14:00,00:14:00,66,22
trip_3,00:14:40,00:14:40,67,23
trip_3,00:15:20,00:15:20,68,24
trip_3,00:16:00,00:16:00,69,25
trip_3,00:16:40,00:16:40,70,26
trip_3,00:17:20,00:17:20,71,27
trip_3,00:18:00,00:18:00,72,28
trip_3,00:18:33,00:18:33,73,29
trip_4,00:00:00,00:00:00,73,1
trip_4,00:00:40,00:00:40,74,2
