shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
Ruta01_0,16.1620137,-95.2274685,1
Ruta01_0,16.1621194,-95.2274926,2
Ruta01_0,16.1627189,-95.227552,3
Ruta01_0,16.1637334,-95.2275546,4
Ruta01_0,16.1694304,-95.2275102,5
Ruta01_0,16.1702909,-95.2274988,6
Ruta01_0,16.1704275,-95.227497,7
Ruta01_0,16.1714151,-95.227484,8
Ruta01_0,16.1722822,-95.2274752,9
Ruta01_0,16.1734144,-95.2274886,10
Ruta01_0,16.1746502,-95.227485,11
Ruta01_0,16.1747628,-95.227482,12
Ruta01_0,16.1753735,-95.2274655,13
Ruta01_0,16.1755536,-95.2274606,14
Ruta01_0,16.1762544,-95.2274428,15
Ruta01_0,16.1763116,-95.2274414,16
Ruta01_0,16.1781107,-95.2274195,17
Ruta01_0,16.1785542,-95.2274235,18
Ruta01_0,16.17886,-95.2273571,19
Ruta01_0,16.1791705,-95.2273169,20
Ruta01_0,16.1797732,-95.2273116,21
Ruta01_0,16.1801855,-95.227274,22
Ruta01_0,16.1803554,-95.2272069,23
Ruta01_0,16.1804765,-95.2271131,24
Ruta01_0,16.1806002,-95.226936,25
Ruta01_0,16.1806675,-95.226732,26
Ruta01_0,16.1806547,-95.2263921,27
Ruta01_0,16.1806449,-95.2257921,28
Ruta01_0,16.1806259,-95.2255037,29
Ruta01_0,16.1805834,-95.2250062,30
Ruta01_0,16.1805054,-95.2244747,31
Ruta01_0,16.180433,-95.22407,32
Ruta01_0,16.1803284,-95.2236074,33
Ruta01_0,16.1802125,-95.2232003,34
Ruta01_0,16.180054,-95.2226566,35
Ruta01_0,16.1798583,-95.222104,36
Ruta01_0,16.1796882,-95.2217258,37
Ruta01_0,16.1793945,-95.2211766,38
Ruta01_0,16.1790399,-95.2205403,39
Ruta01_0,16.178574,-95.2196835,40
Ruta01_0,16.1778307,-95.2182657,41
Ruta01_0,16.1771581,-95.2170551,42
Ruta01_0,16.1770105,-95.2167637,43
Ruta01_0,16.176932,-95.2165995,44
Ruta01_0,16.1767748,-95.2162502,45
Ruta01_0,16.1764648,-95.215455,46
Ruta01_0,16.1762455,-95.2147897,47
Ruta01_0,16.1760692,-95.2141033,48
Ruta01_0,16.1752862,-95.209773,49
Ruta01_0,16.1750958,-95.2090643,50
Ruta01_0,16.1749793,-95.2086917,51
Ruta01_0,16.1747616,-95.2081043,52
Ruta01_0,16.1746496,-95.2078964,53
Ruta01_0,16.1745413,-95.2076435,54
Ruta01_0,16.1744023,-95.2073331,55
Ruta01_0,16.1742825,-95.2070615,56
Ruta01_0,16.1742143,-95.2069194,57
Ruta01_0,16.1739837,-95.2064198,58
Ruta01_0,16.1738381,-95.2060926,59
Ruta01_0,16.1737351,-95.205819,60
Ruta01_0,16.1736346,-95.2055173,61
Ruta01_0,16.173556,-95.2052397,62
Ruta01_0,16.1734955,-95.2049527,63
Ruta01_0,16.1734556,-95.2047113,64
Ruta01_0,16.1734144,-95.2043961,65
Ruta01_0,16.173386,-95.2040903,66
Ruta01_0,16.1733551,-95.2038167,67
Ruta01_0,16.1733036,-95.2035324,68
Ruta01_0,16.1732096,-95.2031542,69
Ruta01_0,16.1731503,-95.202945,70
Ruta01_0,16.1729821,-95.2024397,71
Ruta01_0,16.1729584,-95.2023777,72
Ruta01_0,16.1728038,-95.2020318,73
Ruta01_0,16.1727279,-95.2017689,74
Ruta01_0,16.172687,-95.2015814,75
Ruta01_0,16.1726725,-95.2014712,76
Ruta01_0,16.1726299,-95.2011627,77
Ruta01_0,16.1725839,-95.2007567,78
Ruta01_0,16.1724818,-95.1999236,79
Ruta01_0,16.172429,-95.1994917,80
Ruta01_0,16.1724123,-95.199265,81
Ruta01_0,16.1724033,-95.1991215,82
Ruta01_0,16.1724187,-95.1989365,83
Ruta01_0,16.1724509,-95.1987983,84
Ruta01_0,16.1725211,-95.1986139,85
Ruta01_0,16.1726093,-95.1984738,86
Ruta01_0,16.1727059,-95.1983564,87
Ruta01_0,16.1730099,-95.198054,88
Ruta01_0,16.1734305,-95.1976188,89
Ruta01_0,16.1734969,-95.1975477,90
Ruta01_0,16.1735676,-95.1974519,91
