trip_id,arrival_time,departure_time,stop_id,stop_sequence,shape_dist_traveled
pattern-1_0,00:00:00,00:00:00,33,1,0
pattern-1_0,00:00:39,00:00:39,270,2,191.8
pattern-1_0,00:02:46,00:02:46,271,3,825.3
pattern-1_0,00:03:09,00:03:09,272,4,936.2
pattern-1_0,00:03:31,00:03:31,36,5,1046
pattern-1_0,00:04:16,00:04:16,113,6,1268.3
pattern-1_0,00:04:44,00:04:44,273,7,1405.7
pattern-1_0,00:05:05,00:05:05,274,8,1506.2
pattern-1_0,00:06:02,00:06:02,50,9,1790.6
pattern-1_0,00:06:26,00:06:26,275,10,1909.4
pattern-1_0,00:06:49,00:06:49,276,11,2022.5
pattern-1_0,00:07:13,00:07:13,253,12,2142.2
pattern-1_0,00:07:43,00:07:43,277,13,2290.5
pattern-1_0,00:08:04,00:08:04,254,14,2391.9
pattern-1_0,00:08:36,00:08:36,278,15,2548.7
pattern-1_0,00:08:58,00:08:58,279,16,2656.2
pattern-1_0,00:09:28,00:09:28,255,17,2801.9
pattern-1_0,00:09:50,00:09:50,136,18,2907
pattern-1_0,00:10:25,00:10:25,132,19,3079.5
pattern-1_0,00:10:55,00:10:55,126,20,3228.9
pattern-1_0,00:11:33,00:11:33,256,21,3416.5
pattern-1_0,00:12:04,00:12:04,121,22,3567.5
pattern-1_0,00:13:39,00:13:39,119,23,4038
pattern-1_0,00:14:04,00:14:04,280,24,4158.5
pattern-1_0,00:14:29,00:14:29,281,25,4280.7
pattern-1_0,00:14:58,00:14:58,282,26,4425.4
pattern-1_0,00:15:19,00:15:19,283,27,4529.4
pattern-1_0,00:15:44,00:15:44,284,28,4651.8
pattern-1_0,00:16:11,00:16:11,285,29,4786.7
pattern-1_0,00:16:37,00:16:37,286,30,4914.9
pattern-1_0,00:17:05,00:17:05,287,31,5053.6
pattern-1_0,00:17:33,00:17:33,288,32,5189.8
pattern-1_0,00:17:56,00:17:56,289,33,5303.5
pattern-1_0,00:18:22,00:18:22,290,34,5432.7
pattern-1_0,00:19:06,00:19:06,291,35,5651.7
pattern-1_0,00:19:28,00:19:28,292,36,5758.8
pattern-1_0,00:19:51,00:19:51,293,37,5872.4
pattern-1_0,00:20:31,00:20:31,294,38,6067.5
pattern-1_0,00:20:57,00:20:57,295,39,6193.3
pattern-1_0,00:21:27,00:21:27,131,40,6341.8
pattern-2_0,00:00:00,00:00:00,296,1,5.5
pattern-2_0,00:00:23,00:00:23,134,2,117.8
pattern-2_0,00:00:48,00:00:48,139,3,242.5
pattern-2_0,00:01:15,00:01:15,297,4,374.3
pattern-2_0,00:01:39,00:01:39,298,5,493.6
pattern-2_0,00:02:04,00:02:04,299,6,617.5
pattern-2_0,00:02:29,00:02:29,300,7,742.4
pattern-2_0,00:02:56,00:02:56,301,8,875.6
pattern-2_0,00:03:21,00:03:21,302,9,997.6
pattern-2_0,00:03:46,00:03:46,303,10,1121.2
pattern-2_0,00:04:11,00:04:11,304,11,1244.9
pattern-2_0,00:04:38,00:04:38,305,12,1378.6
pattern-2_0,00:05:04,00:05:04,306,13,1504.2
pattern-2_0,00:05:28,00:05:28,307,14,1622.1
pattern-2_0,00:05:57,00:05:57,308,15,1764.2
pattern-2_0,00:06:23,00:06:23,169,16,1892.3
pattern-2_0,00:06:49,00:06:49,309,17,2018.8
pattern-2_0,00:07:13,00:07:13,310,18,2134.8
pattern-2_0,00:07:34,00:07:34,311,19,2237.5
pattern-2_0,00:08:00,00:08:00,163,20,2365.3
pattern-2_0,00:08:24,00:08:24,165,21,2483.9
pattern-2_0,00:08:48,00:08:48,312,22,2603.1
pattern-2_0,00:09:09,00:09:09,313,23,2703.7
pattern-2_0,00:09:34,00:09:34,314,24,2825.2
pattern-2_0,00:09:58,00:09:58,315,25,2941.4
pattern-2_0,00:10:29,00:10:29,316,26,3091.5
pattern-2_0,00:10:50,00:10:50,317,27,3193.5
pattern-2_0,00:11:17,00:11:17,318,28,3323.6
pattern-2_0,00:11:41,00:11:41,319,29,3439.4
pattern-2_0,00:11:47,00:11:47,320,30,3465
pattern-3_0,00:00:00,00:00:00,320,1,0
pattern-3_0,00:00:29,00:00:29,318,2,141.5
pattern-3_0,00:00:56,00:00:56,317,3,271.6
pattern-3_0,00:01:17,00:01:17,316,4,373.6
pattern-3_0,00:01:39,00:01:39,321,5,479.7
pattern-3_0,00:02:00,00:02:00,322,6,583
pattern-3_0,00:02:23,00:02:23,323,7,697.4
pattern-3_0,00:02:44,00:02:44,324,8,799
pattern-3_0,00:03:08,00:03:08,325,9,918
pattern-3_0,00:03:31,00:03:31,326,10,1030.6
pattern-3_0,00:03:53,00:03:53,327,11,1137.1
pattern-3_0,00:04:14,00:04:14,328,12,1240.8
pattern-3_0,00:04:36,00:04:36,168,13,1346.9
pattern-3_0,00:05:02,00:05:02,170,14,1474.6
pattern-3_0,00:05:33,00:05:33,329,15,1625.8
pattern-3_0,00:05:59,00:05:59,162,16,1752.1
pattern-3_0,00:06:20,00:06:20,330,17,1856.4
pattern-3_0,00:06:44,00:06:44,331,18,1974
pattern-3_0,00:07:11,00:07:11,332,19,2107.8
pattern-3_0,00:07:37,00:07:37,159,20,2234.4
pattern-3_0,00:08:00,00:08:00,333,21,2348.4
pattern-3_0,00:08:26,00:08:26,334,22,2474.5
pattern-3_0,00:08:52,00:08:52,150,23,2603.6
pattern-3_0,00:09:17,00:09:17,335,24,2727.6
pattern-3_0,00:09:43,00:09:43,336,25,2853.1
pattern-3_0,00:10:08,00:10:08,337,26,2977.6
pattern-3_0,00:10:34,00:10:34,338,27,3104.9
pattern-3_0,00:11:00,00:11:00,339,28,3230.9
pattern-3_0,00:11:25,00:11:25,340,29,3355.6
pattern-3_0,00:11:51,00:11:51,120,30,3482.5
pattern-3_0,00:12:16,00:12:16,341,31,3606.5
pattern-3_0,00:12:42,00:12:42,342,32,3732.7
pattern-3_0,00:13:08,00:13:08,343,33,3862.4
pattern-3_0,00:13:12,00:13:12,344,34,3878.2
pattern-4_0,00:00:00,00:00:00,297,1,0
pattern-4_0,00:00:24,00:00:24,298,2,119.3
pattern-4_0,00:00:49,00:00:49,299,3,243.2
pattern-4_0,00:01:14,00:01:14,300,4,368.1
pattern-4_0,00:01:42,00:01:42,345,5,505.1
pattern-4_0,00:02:05,00:02:05,346,6,616.5
pattern-4_0,00:02:26,00:02:26,145,7,717.6
pattern-4_0,00:02:52,00:02:52,147,8,846.1
pattern-4_0,00:03:19,00:03:19,347,9,978
pattern-4_0,00:03:57,00:03:57,156,10,1163.5
pattern-4_0,00:04:19,00:04:19,348,11,1271.3
pattern-4_0,00:04:40,00:04:40,349,12,1372.7
pattern-4_0,00:05:12,00:05:12,350,13,1529.7
pattern-4_0,00:05:34,00:05:34,351,14,1635.5
