stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,location_type
1,,Avenida Tampico,,16.1939265,-95.2016037,
2,,Avenida Tampico,,16.1871108,-95.200873,
3,,Avenida Tampico,,16.1856451,-95.2002461,
4,,Avenida Oleoducto y Carretera Ramal a Refinería Pemex (Refinería del Pacifico),,16.2197122,-95.1900677,
5,,Carretera Coatzacoalcos - Salina Cruz,,16.2203509,-95.2081016,
6,,Carretera Ramal a Refinería Pemex (Refinería del Pacifico),,16.2214449,-95.2055722,
7,,Carretera Super Transístmica,,16.2221718,-95.2087044,
8,,Carretera Ramal a Refinería Pemex (Refinería del Pacifico),,16.2215619,-95.2065341,
9,,Calle Puebla,,16.207302,-95.2124695,
10,,Calle Chiapas,,16.2053687,-95.2134394,
11,,Calle 5 de Septiembre,,16.2156765,-95.2075961,
12,,Calle Puebla y Benito Juárez,,16.207322,-95.2060948,
13,,Carretera Super Transístmica y Carretera Coatzacoalcos - Salina Cruz y Calle Chiapas,,16.2060194,-95.2036665,
14,,Calle Manuel Ávila Camacho,,16.2192802,-95.2122208,
15,,Calle 5 de Septiembre y Calle Santa Cruz,,16.2187852,-95.2085147,
16,,Calle Puebla,,16.2071454,-95.2193374,
17,,Calle 5 de Septiembre y Calle Puebla,,16.2073163,-95.2049326,
18,,Calle Chiapas,,16.205459,-95.2114152,
19,,Calle Chiapas,,16.2055764,-95.2097404,
20,,Calle Santa Cruz,,16.219042,-95.2112619,
21,,Calle 5 de Septiembre,,16.2167853,-95.2078991,
22,,Calle Puebla,,16.2072917,-95.210242,
23,,Calle Puebla,,16.2072905,-95.2134874,
24,,Calle Puebla,,16.2072729,-95.211429,
25,,Calle Chiapas,,16.2051914,-95.2157754,
26,,Calle Chiapas,,16.205409,-95.2124628,
27,,Calle Puebla,,16.2081765,-95.2194044,
28,,Carretera Super Transístmica,,16.2074385,-95.2040863,
29,,Calle Puebla,,16.2073026,-95.2071904,
30,,Calle Chiapas y Calle 5 de Septiembre,,16.2059042,-95.2045323,
31,,Carretera Coatzacoalcos - Salina Cruz,,16.2159392,-95.2067269,
32,,Calle Puebla,,16.2072735,-95.2145162,
33,,Calzada Teniente José Azueta,,16.1620137,-95.2274685,
34,,Calzada Teniente José Azueta,,16.1630725,-95.2064855,
35,,Carretera Santiago Pinotepa Nacional - Salina Cruz,,16.194922,-95.2037671,
36,,Innominada,,16.1714151,-95.227484,
37,,Carretera Santiago Pinotepa Nacional - Salina Cruz,,16.1946399,-95.2044725,
38,,Calzada Teniente José Azueta,,16.1628419,-95.2094159,
39,,Carretera Santiago Pinotepa Nacional - Salina Cruz,,16.1938539,-95.2058191,
40,,Carretera Santiago Pinotepa Nacional - Salina Cruz,,16.1930449,-95.2073051,
41,,Carretera Santiago Pinotepa Nacional - Salina Cruz,,16.1930275,-95.208689,
42,,Carretera Santiago Pinotepa Nacional - Salina Cruz,,16.1930262,-95.2092697,
43,,Calzada Teniente José Azueta,,16.1628149,-95.212208,
44,,Calzada Teniente José Azueta,,16.1633933,-95.205422,
45,,Avenida Tampico,,16.1896081,-95.2018507,
46,,Calzada Teniente José Azueta,,16.1625895,-95.2109769,
47,,Calzada Teniente José Azueta,,16.1636251,-95.2043237,
48,,Calzada Teniente José Azueta,,16.1621477,-95.2088566,
49,,Calzada Teniente José Azueta,,16.1619815,-95.2048776,
50,,Entronque Carretero (Pinotepa - Salina Cruz) - Salinas del Marqués,,16.1781107,-95.2274195,
51,,Avenida Tampico,,16.1885726,-95.2016938,
52,,Calzada Teniente José Azueta,,16.163127,-95.2142785,
53,,Calzada Teniente José Azueta,,16.1619905,-95.2080774,
54,,Calzada Teniente José Azueta,,16.1629785,-95.2078334,
55,,Calzada Teniente José Azueta,,16.1638586,-95.2165315,
56,,Carretera Santiago Pinotepa Nacional - Salina Cruz,,16.1908818,-95.2084288,
57,,Carretera Santiago Pinotepa Nacional - Salina Cruz,,16.1900035,-95.208056,
58,,Carretera Santiago Pinotepa Nacional - Salina Cruz,,16.1896995,-95.2079876,
59,,Carretera Santiago Pinotepa Nacional - Salina Cruz,,16.1921247,-95.2098477,
60,,Carretera Santiago Pinotepa Nacional - Salina Cruz,,16.1913931,-95.2088754,
61,,Calzada Teniente José Azueta,,16.1627866,-95.2047475,
62,,Carretera Santiago Pinotepa Nacional - Salina Cruz,,16.1961765,-95.2021765,
63,,Avenida Tampico,,16.1823415,-95.19886,
64,,Calzada Teniente José Azueta,,16.1679584,-95.202818,
65,,Calzada Teniente José Azueta,,16.1723653,-95.2045953,
66,,Calzada Teniente José Azueta,,16.1697667,-95.2038989,
67,,Avenida Tampico,,16.1755371,-95.1938536,
68,,Calzada Teniente José Azueta,,16.1731942,-95.204198,
69,,Calzada Teniente José Azueta y Calle Las Pilas,,16.173466,-95.2031908,
70,,Avenida Bahía de la Ventosa,,16.1729854,-95.1866788,
71,,Avenida Bahía de la Ventosa,,16.1891071,-95.1826597,
72,,Boca del Río,,16.2069196,-95.1614368,
73,,Avenida Bahía de la Ventosa,,16.1872847,-95.1766208,
74,,Avenida Bahía de la Ventosa,,16.1811592,-95.1848029,
75,,Bahía la Ventosa,,16.1794629,-95.1617828,
76,,Avenida Bahía de la Ventosa,,16.18844,-95.1739507,
77,,Avenida Bahía de la Ventosa,,16.188346,-95.1794639,
78,,Avenida Bahía de la Ventosa,,16.1805861,-95.1845816,
79,,Bahía la Ventosa,,16.1799588,-95.1603559,
80,,Avenida Bahía de la Ventosa,,16.1853862,-95.1847208,
81,,Bahía la Ventosa,,16.1827614,-95.1654843,
82,,Bahía la Ventosa,,16.1814439,-95.1647011,
83,,Avenida Bahía de la Ventosa,,16.1723466,-95.1877946,
84,,Bahía la Ventosa,,16.1765276,-95.1579634,
85,,Avenida Bahía de la Ventosa,,16.1781056,-95.1842947,
86,,Bahía la Ventosa,,16.1792195,-95.1635879,
87,,Bahía la Ventosa,,16.1851416,-95.1684991,
88,,Avenida Bahía de la Ventosa,,16.1890466,-95.1816097,
89,,Avenida Bahía de la Ventosa,,16.1843636,-95.1851888,
90,,Boca del Río,,16.2067187,-95.1628074,
91,,Carretera Super Transístmica,,16.1999189,-95.2019781,
92,,Avenida Bahía de la Ventosa,,16.181812,-95.1850707,
93,,Bahía la Ventosa,,16.187136,-95.1706361,
94,,Boca del Río,,16.1926925,-95.1810979,
95,,Avenida Bahía de la Ventosa,,16.1725475,-95.1875827,
96,,Avenida Bahía de la Ventosa,,16.1879751,-95.1783481,
97,,Boca del Río,,16.1965126,-95.1761756,
98,,Avenida Bahía de la Ventosa,,16.1862878,-95.1845142,
99,,Avenida Bahía de la Ventosa,,16.187447,-95.1774818,
100,,Avenida Bahía de la Ventosa,,16.1880575,-95.1746252,
101,,Avenida Bahía de la Ventosa,,16.1731349,-95.1857454,
102,,Bahía la Ventosa,,16.1808642,-95.1646126,
103,,Avenida Bahía de la Ventosa,,16.1771541,-95.1844534,
104,,Boca del Río,,16.1891058,-95.1841535,
105,,Bahía la Ventosa,,16.1796523,-95.1597845,
106,,Avenida Bahía de la Ventosa,,16.1814721,-95.1849474,
107,,Avenida Bahía de la Ventosa,,16.1759981,-95.184643,
108,,Bahía la Ventosa,,16.1790341,-95.1631186,
109,,Avenida Bahía de la Ventosa,,16.1876454,-95.1752046,
110,,Avenida Bahía de la Ventosa,,16.1836758,-95.1851928,
111,,Bahía la Ventosa,,16.1823905,-95.1649907,
