shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
BinniBusRA01,17.019966,-96.745907,1
BinniBusRA01,17.019842,-96.745884,2
BinniBusRA01,17.018079,-96.746744,3
BinniBusRA01,17.016897,-96.747127,4
BinniBusRA01,17.016007,-96.747425,5
BinniBusRA01,17.015656,-96.746025,6
BinniBusRA01,17.015472,-96.745284,7
BinniBusRA01,17.015239,-96.744056,8
BinniBusRA01,17.015048,-96.743267,9
BinniBusRA01,17.014663,-96.741256,10
BinniBusRA01,17.013809,-96.741494,11
BinniBusRA01,17.012645,-96.741769,12
BinniBusRA01,17.010934,-96.742174,13
BinniBusRA01,17.011275,-96.743849,14
BinniBusRA01,17.011471,-96.744776,15
BinniBusRA01,17.009862,-96.745112,16
BinniBusRA01,17.010124,-96.746538,17
BinniBusRA01,17.008562,-96.746906,18
BinniBusRA01,17.007116,-96.747237,19
BinniBusRA01,17.006526,-96.747384,20
BinniBusRA01,17.006517,-96.747296,21
BinniBusRA01,17.006448,-96.74691,22
BinniBusRA01,17.006322,-96.74615,23
BinniBusRA01,17.00615,-96.745385,24
BinniBusRA01,17.005977,-96.744461,25
BinniBusRA01,17.005921,-96.744048,26
BinniBusRA01,17.005789,-96.743427,27
BinniBusRA01,17.005686,-96.74282,28
BinniBusRA01,17.005294,-96.740801,29
BinniBusRA01,17.005254,-96.740561,30
BinniBusRA01,17.004161,-96.740619,31
BinniBusRA01,17.00396,-96.739742,32
BinniBusRA01,17.003699,-96.738597,33
BinniBusRA01,17.004536,-96.738192,34
BinniBusRA01,17.005442,-96.737788,35
BinniBusRA01,17.006409,-96.737371,36
BinniBusRA01,17.007,-96.737128,37
BinniBusRA01,17.008256,-96.736585,38
BinniBusRA01,17.009148,-96.736192,39
BinniBusRA01,17.009875,-96.735854,40
BinniBusRA01,17.011014,-96.735336,41
BinniBusRA01,17.011824,-96.734956,42
BinniBusRA01,17.013334,-96.734253,43
BinniBusRA01,17.014325,-96.733818,44
BinniBusRA01,17.015469,-96.733338,45
BinniBusRA01,17.016307,-96.73297,46
BinniBusRA01,17.016449,-96.732897,47
BinniBusRA01,17.017307,-96.732551,48
BinniBusRA01,17.018605,-96.731966,49
BinniBusRA01,17.019405,-96.731599,50
BinniBusRA01,17.020405,-96.731162,51
BinniBusRA01,17.021299,-96.73075,52
BinniBusRA01,17.022057,-96.730394,53
BinniBusRA01,17.022781,-96.730098,54
BinniBusRA01,17.023112,-96.73004,55
BinniBusRA01,17.02312,-96.72998,56
BinniBusRA01,17.023208,-96.729917,57
BinniBusRA01,17.023326,-96.729953,58
BinniBusRA01,17.024093,-96.729827,59
BinniBusRA01,17.025529,-96.729657,60
BinniBusRA01,17.026873,-96.729516,61
BinniBusRA01,17.028298,-96.729346,62
BinniBusRA01,17.028922,-96.729244,63
BinniBusRA01,17.029597,-96.729197,64
BinniBusRA01,17.030856,-96.729013,65
BinniBusRA01,17.031942,-96.728878,66
BinniBusRA01,17.03315,-96.728734,67
BinniBusRA01,17.03437,-96.728542,68
BinniBusRA01,17.034912,-96.728483,69
BinniBusRA01,17.035411,-96.72845,70
BinniBusRA01,17.036415,-96.728344,71
BinniBusRA01,17.03651,-96.728263,72
BinniBusRA01,17.036616,-96.728128,73
BinniBusRA01,17.036681,-96.72797,74
BinniBusRA01,17.036821,-96.727401,75
BinniBusRA01,17.037708,-96.727545,76
BinniBusRA01,17.038704,-96.727754,77
BinniBusRA01,17.039104,-96.727738,78
BinniBusRA01,17.03956,-96.727597,79
BinniBusRA01,17.040887,-96.727122,80
BinniBusRA01,17.041646,-96.726977,81
BinniBusRA01,17.042398,-96.726984,82
BinniBusRA01,17.043559,-96.727201,83
BinniBusRA01,17.044352,-96.727406,84
BinniBusRA01,17.045297,-96.72782,85
BinniBusRA01,17.04639,-96.728478,86
BinniBusRA01,17.047029,-96.728847,87
BinniBusRA01,17.048216,-96.729513,88
BinniBusRA01,17.048684,-96.729673,89
BinniBusRA01,17.048976,-96.72978,90
BinniBusRA01,17.049404,-96.729828,91
BinniBusRA01,17.04988,-96.72981,92
BinniBusRA01,17.050192,-96.729869,93
BinniBusRA01,17.050423,-96.72982,94
BinniBusRA01,17.051116,-96.729583,95
BinniBusRA01,17.051566,-96.729517,96
BinniBusRA01,17.052077,-96.729464,97
BinniBusRA01,17.05213,-96.729338,98
BinniBusRA01,17.052023,-96.729102,99
BinniBusRA01,17.052495,-96.729205,100
BinniBusRA01,17.053463,-96.729504,101
BinniBusRA01,17.054646,-96.729857,102
BinniBusRA01,17.055494,-96.730102,103
BinniBusRA01,17.05594,-96.730215,104
BinniBusRA01,17.056401,-96.7304,105
BinniBusRA01,17.056882,-96.730719,106
BinniBusRA01,17.057662,-96.73131,107
BinniBusRA01,17.057913,-96.731474,108
BinniBusRA01,17.058332,-96.731785,109
BinniBusRA01,17.059066,-96.732289,110
BinniBusRA01,17.059932,-96.732917,111
BinniBusRA01,17.060331,-96.733177,112
BinniBusRA01,17.060725,-96.733471,113
BinniBusRA01,17.0608,-96.733531,114
BinniBusRA01,17.060845,-96.733598,115
BinniBusRA01,17.060775,-96.733753,116
BinniBusRA01,17.060163,-96.734671,117
BinniBusRA01,17.059484,-96.735707,118
BinniBusRA01,17.058952,-96.736483,119
BinniBusRA01,17.0591,-96.736604,120
BinniBusRA01,17.059392,-96.736731,121
BinniBusRA01,17.059645,-96.736826,122
BinniBusRA01,17.06023,-96.736894,123
BinniBusRA01,17.014597,-96.741291,124
